,Generator,Zone,Time,NOX lb,SO2 lb,CO2 lb,N2O lb,CO2_equivelent lb
0,DISCOV_1_CHEVRN,PGE_valley,1,0.0,0.0,0.0,0.0,0.0
1,DISCOV_1_CHEVRN,PGE_valley,2,0.0,0.0,0.0,0.0,0.0
2,DISCOV_1_CHEVRN,PGE_valley,3,0.0,0.0,0.0,0.0,0.0
3,DISCOV_1_CHEVRN,PGE_valley,4,0.0,0.0,0.0,0.0,0.0
4,DISCOV_1_CHEVRN,PGE_valley,5,0.0,0.0,0.0,0.0,0.0
5,DISCOV_1_CHEVRN,PGE_valley,6,0.0,0.0,0.0,0.0,0.0
6,DISCOV_1_CHEVRN,PGE_valley,7,0.0,0.0,0.0,0.0,0.0
7,DISCOV_1_CHEVRN,PGE_valley,8,0.0,0.0,0.0,0.0,0.0
8,DISCOV_1_CHEVRN,PGE_valley,9,0.0,0.0,0.0,0.0,0.0
9,DISCOV_1_CHEVRN,PGE_valley,10,0.0,0.0,0.0,0.0,0.0
10,DISCOV_1_CHEVRN,PGE_valley,11,0.0,0.0,0.0,0.0,0.0
11,DISCOV_1_CHEVRN,PGE_valley,12,0.0,0.0,0.0,0.0,0.0
12,DISCOV_1_CHEVRN,PGE_valley,13,0.0,0.0,0.0,0.0,0.0
13,DISCOV_1_CHEVRN,PGE_valley,14,0.0,0.0,0.0,0.0,0.0
14,DISCOV_1_CHEVRN,PGE_valley,15,0.0,0.0,0.0,0.0,0.0
15,DISCOV_1_CHEVRN,PGE_valley,16,0.0,0.0,0.0,0.0,0.0
16,DISCOV_1_CHEVRN,PGE_valley,17,0.0,0.0,0.0,0.0,0.0
17,DISCOV_1_CHEVRN,PGE_valley,18,0.0,0.0,0.0,0.0,0.0
18,DISCOV_1_CHEVRN,PGE_valley,19,0.0,0.0,0.0,0.0,0.0
19,DISCOV_1_CHEVRN,PGE_valley,20,0.0,0.0,0.0,0.0,0.0
20,DISCOV_1_CHEVRN,PGE_valley,21,0.0,0.0,0.0,0.0,0.0
21,DISCOV_1_CHEVRN,PGE_valley,22,0.0,0.0,0.0,0.0,0.0
22,DISCOV_1_CHEVRN,PGE_valley,23,0.0,0.0,0.0,0.0,0.0
23,DISCOV_1_CHEVRN,PGE_valley,24,0.0,0.0,0.0,0.0,0.0
24,CHEVCD_6_UNIT,PGE_valley,1,0.0,0.0,0.0,0.0,0.0
