,Source,Sink,Time,Value
0,SDGE,SDGE,1,0.0
1,SDGE,SDGE,2,0.0
2,SDGE,SDGE,3,0.0
3,SDGE,SDGE,4,0.0
4,SDGE,SDGE,5,0.0
5,SDGE,SDGE,6,0.0
6,SDGE,SDGE,7,0.0
7,SDGE,SDGE,8,0.0
8,SDGE,SDGE,9,0.0
9,SDGE,SDGE,10,0.0
10,SDGE,SDGE,11,0.0
11,SDGE,SDGE,12,0.0
12,SDGE,SDGE,13,0.0
13,SDGE,SDGE,14,0.0
14,SDGE,SDGE,15,0.0
15,SDGE,SDGE,16,0.0
16,SDGE,SDGE,17,0.0
17,SDGE,SDGE,18,0.0
18,SDGE,SDGE,19,0.0
19,SDGE,SDGE,20,0.0
20,SDGE,SDGE,21,0.0
21,SDGE,SDGE,22,0.0
22,SDGE,SDGE,23,0.0
23,SDGE,SDGE,24,0.0
24,SDGE,SCE,1,0.0
25,SDGE,SCE,2,0.0
26,SDGE,SCE,3,0.0
27,SDGE,SCE,4,0.0
28,SDGE,SCE,5,0.0
29,SDGE,SCE,6,0.0
30,SDGE,SCE,7,0.0
31,SDGE,SCE,8,0.0
32,SDGE,SCE,9,0.0
33,SDGE,SCE,10,0.0
34,SDGE,SCE,11,36.92022001379655
35,SDGE,SCE,12,93.62948376130873
36,SDGE,SCE,13,52.97723776282635
37,SDGE,SCE,14,0.0
38,SDGE,SCE,15,0.0
39,SDGE,SCE,16,0.0
40,SDGE,SCE,17,0.0
41,SDGE,SCE,18,0.0
42,SDGE,SCE,19,0.0
43,SDGE,SCE,20,0.0
44,SDGE,SCE,21,0.0
45,SDGE,SCE,22,0.0
46,SDGE,SCE,23,0.0
47,SDGE,SCE,24,0.0
48,SDGE,PGE_valley,1,0.0
49,SDGE,PGE_valley,2,0.0
50,SDGE,PGE_valley,3,0.0
51,SDGE,PGE_valley,4,0.0
52,SDGE,PGE_valley,5,0.0
53,SDGE,PGE_valley,6,0.0
54,SDGE,PGE_valley,7,0.0
55,SDGE,PGE_valley,8,0.0
56,SDGE,PGE_valley,9,0.0
57,SDGE,PGE_valley,10,0.0
58,SDGE,PGE_valley,11,0.0
59,SDGE,PGE_valley,12,0.0
60,SDGE,PGE_valley,13,0.0
61,SDGE,PGE_valley,14,0.0
62,SDGE,PGE_valley,15,0.0
63,SDGE,PGE_valley,16,0.0
64,SDGE,PGE_valley,17,0.0
65,SDGE,PGE_valley,18,0.0
66,SDGE,PGE_valley,19,0.0
67,SDGE,PGE_valley,20,0.0
68,SDGE,PGE_valley,21,0.0
69,SDGE,PGE_valley,22,0.0
70,SDGE,PGE_valley,23,0.0
71,SDGE,PGE_valley,24,0.0
72,SDGE,PGE_bay,1,0.0
73,SDGE,PGE_bay,2,0.0
74,SDGE,PGE_bay,3,0.0
75,SDGE,PGE_bay,4,0.0
76,SDGE,PGE_bay,5,0.0
77,SDGE,PGE_bay,6,0.0
78,SDGE,PGE_bay,7,0.0
79,SDGE,PGE_bay,8,0.0
80,SDGE,PGE_bay,9,0.0
81,SDGE,PGE_bay,10,0.0
82,SDGE,PGE_bay,11,0.0
83,SDGE,PGE_bay,12,0.0
84,SDGE,PGE_bay,13,0.0
85,SDGE,PGE_bay,14,0.0
86,SDGE,PGE_bay,15,0.0
87,SDGE,PGE_bay,16,0.0
88,SDGE,PGE_bay,17,0.0
89,SDGE,PGE_bay,18,0.0
90,SDGE,PGE_bay,19,0.0
91,SDGE,PGE_bay,20,0.0
92,SDGE,PGE_bay,21,0.0
93,SDGE,PGE_bay,22,0.0
94,SDGE,PGE_bay,23,0.0
95,SDGE,PGE_bay,24,0.0
96,SCE,SDGE,1,0.46032752662614435
97,SCE,SDGE,2,0.0
98,SCE,SDGE,3,0.0
99,SCE,SDGE,4,0.0
100,SCE,SDGE,5,0.0
101,SCE,SDGE,6,0.0
102,SCE,SDGE,7,0.0
103,SCE,SDGE,8,0.0
104,SCE,SDGE,9,236.49568852191965
105,SCE,SDGE,10,0.0
106,SCE,SDGE,11,0.0
107,SCE,SDGE,12,0.0
108,SCE,SDGE,13,0.0
109,SCE,SDGE,14,0.0
110,SCE,SDGE,15,267.06897383952867
111,SCE,SDGE,16,0.0
112,SCE,SDGE,17,135.38167879046125
113,SCE,SDGE,18,234.99262047390175
114,SCE,SDGE,19,269.57058438192684
115,SCE,SDGE,20,354.4659891448184
116,SCE,SDGE,21,298.9116951830813
117,SCE,SDGE,22,244.1871597870447
118,SCE,SDGE,23,600.0
119,SCE,SDGE,24,259.3428142497052
120,SCE,SCE,1,0.0
121,SCE,SCE,2,0.0
122,SCE,SCE,3,0.0
123,SCE,SCE,4,0.0
124,SCE,SCE,5,0.0
125,SCE,SCE,6,0.0
126,SCE,SCE,7,0.0
127,SCE,SCE,8,0.0
128,SCE,SCE,9,0.0
129,SCE,SCE,10,0.0
130,SCE,SCE,11,0.0
131,SCE,SCE,12,0.0
132,SCE,SCE,13,0.0
133,SCE,SCE,14,0.0
134,SCE,SCE,15,0.0
135,SCE,SCE,16,0.0
136,SCE,SCE,17,0.0
137,SCE,SCE,18,0.0
138,SCE,SCE,19,0.0
139,SCE,SCE,20,0.0
140,SCE,SCE,21,0.0
141,SCE,SCE,22,0.0
142,SCE,SCE,23,0.0
143,SCE,SCE,24,0.0
144,SCE,PGE_valley,1,0.0
145,SCE,PGE_valley,2,0.0
146,SCE,PGE_valley,3,0.0
147,SCE,PGE_valley,4,0.0
148,SCE,PGE_valley,5,0.0
149,SCE,PGE_valley,6,0.0
150,SCE,PGE_valley,7,0.0
151,SCE,PGE_valley,8,0.0
152,SCE,PGE_valley,9,0.0
153,SCE,PGE_valley,10,2434.4180527213935
154,SCE,PGE_valley,11,3000.0
155,SCE,PGE_valley,12,2830.6386962157667
156,SCE,PGE_valley,13,2488.655573110214
157,SCE,PGE_valley,14,2019.4231536022558
158,SCE,PGE_valley,15,741.6463674824147
159,SCE,PGE_valley,16,0.0
160,SCE,PGE_valley,17,0.0
161,SCE,PGE_valley,18,0.0
162,SCE,PGE_valley,19,0.0
163,SCE,PGE_valley,20,0.0
164,SCE,PGE_valley,21,0.0
165,SCE,PGE_valley,22,0.0
166,SCE,PGE_valley,23,0.0
167,SCE,PGE_valley,24,0.0
168,SCE,PGE_bay,1,0.0
169,SCE,PGE_bay,2,0.0
170,SCE,PGE_bay,3,0.0
171,SCE,PGE_bay,4,0.0
172,SCE,PGE_bay,5,0.0
173,SCE,PGE_bay,6,0.0
174,SCE,PGE_bay,7,0.0
175,SCE,PGE_bay,8,0.0
176,SCE,PGE_bay,9,0.0
177,SCE,PGE_bay,10,0.0
178,SCE,PGE_bay,11,0.0
179,SCE,PGE_bay,12,0.0
180,SCE,PGE_bay,13,0.0
181,SCE,PGE_bay,14,0.0
182,SCE,PGE_bay,15,0.0
183,SCE,PGE_bay,16,0.0
184,SCE,PGE_bay,17,0.0
185,SCE,PGE_bay,18,0.0
186,SCE,PGE_bay,19,0.0
187,SCE,PGE_bay,20,0.0
188,SCE,PGE_bay,21,0.0
189,SCE,PGE_bay,22,0.0
190,SCE,PGE_bay,23,0.0
191,SCE,PGE_bay,24,0.0
192,PGE_valley,SDGE,1,0.0
193,PGE_valley,SDGE,2,0.0
194,PGE_valley,SDGE,3,0.0
195,PGE_valley,SDGE,4,0.0
196,PGE_valley,SDGE,5,0.0
197,PGE_valley,SDGE,6,0.0
198,PGE_valley,SDGE,7,0.0
199,PGE_valley,SDGE,8,0.0
200,PGE_valley,SDGE,9,0.0
201,PGE_valley,SDGE,10,0.0
202,PGE_valley,SDGE,11,0.0
203,PGE_valley,SDGE,12,0.0
204,PGE_valley,SDGE,13,0.0
205,PGE_valley,SDGE,14,0.0
206,PGE_valley,SDGE,15,0.0
207,PGE_valley,SDGE,16,0.0
208,PGE_valley,SDGE,17,0.0
209,PGE_valley,SDGE,18,0.0
210,PGE_valley,SDGE,19,0.0
211,PGE_valley,SDGE,20,0.0
212,PGE_valley,SDGE,21,0.0
213,PGE_valley,SDGE,22,0.0
214,PGE_valley,SDGE,23,0.0
215,PGE_valley,SDGE,24,0.0
216,PGE_valley,SCE,1,0.0
217,PGE_valley,SCE,2,0.0
218,PGE_valley,SCE,3,0.0
219,PGE_valley,SCE,4,0.0
220,PGE_valley,SCE,5,0.0
221,PGE_valley,SCE,6,0.0
222,PGE_valley,SCE,7,0.0
223,PGE_valley,SCE,8,0.0
224,PGE_valley,SCE,9,0.0
225,PGE_valley,SCE,10,0.0
226,PGE_valley,SCE,11,0.0
227,PGE_valley,SCE,12,0.0
228,PGE_valley,SCE,13,0.0
229,PGE_valley,SCE,14,0.0
230,PGE_valley,SCE,15,0.0
231,PGE_valley,SCE,16,0.0
232,PGE_valley,SCE,17,581.8706648994131
233,PGE_valley,SCE,18,703.1279864857678
234,PGE_valley,SCE,19,1744.789731729446
235,PGE_valley,SCE,20,2165.108565376767
236,PGE_valley,SCE,21,2263.4184871355915
237,PGE_valley,SCE,22,2685.4106584616648
238,PGE_valley,SCE,23,3020.4284327244295
239,PGE_valley,SCE,24,1968.033241609062
240,PGE_valley,PGE_valley,1,0.0
241,PGE_valley,PGE_valley,2,0.0
242,PGE_valley,PGE_valley,3,0.0
243,PGE_valley,PGE_valley,4,0.0
244,PGE_valley,PGE_valley,5,0.0
245,PGE_valley,PGE_valley,6,0.0
246,PGE_valley,PGE_valley,7,0.0
247,PGE_valley,PGE_valley,8,0.0
248,PGE_valley,PGE_valley,9,0.0
249,PGE_valley,PGE_valley,10,0.0
250,PGE_valley,PGE_valley,11,0.0
251,PGE_valley,PGE_valley,12,0.0
252,PGE_valley,PGE_valley,13,0.0
253,PGE_valley,PGE_valley,14,0.0
254,PGE_valley,PGE_valley,15,0.0
255,PGE_valley,PGE_valley,16,0.0
256,PGE_valley,PGE_valley,17,0.0
257,PGE_valley,PGE_valley,18,0.0
258,PGE_valley,PGE_valley,19,0.0
259,PGE_valley,PGE_valley,20,0.0
260,PGE_valley,PGE_valley,21,0.0
261,PGE_valley,PGE_valley,22,0.0
262,PGE_valley,PGE_valley,23,0.0
263,PGE_valley,PGE_valley,24,0.0
264,PGE_valley,PGE_bay,1,2941.008964656994
265,PGE_valley,PGE_bay,2,2983.4349866833245
266,PGE_valley,PGE_bay,3,2814.4291747849675
267,PGE_valley,PGE_bay,4,2712.754501939051
268,PGE_valley,PGE_bay,5,2719.4878112926353
269,PGE_valley,PGE_bay,6,2741.3800902968674
270,PGE_valley,PGE_bay,7,2780.3859625464847
271,PGE_valley,PGE_bay,8,3152.5218661197337
272,PGE_valley,PGE_bay,9,3343.6282777350984
273,PGE_valley,PGE_bay,10,3831.282319817972
274,PGE_valley,PGE_bay,11,3916.775662599365
275,PGE_valley,PGE_bay,12,3844.1951484724955
276,PGE_valley,PGE_bay,13,3801.6308198677425
277,PGE_valley,PGE_bay,14,3513.378265411571
278,PGE_valley,PGE_bay,15,3316.4865290870202
279,PGE_valley,PGE_bay,16,3369.64675084265
280,PGE_valley,PGE_bay,17,3457.7447024240214
281,PGE_valley,PGE_bay,18,3717.374863854796
282,PGE_valley,PGE_bay,19,4243.921945016709
283,PGE_valley,PGE_bay,20,4258.314821946548
284,PGE_valley,PGE_bay,21,4194.922499605162
285,PGE_valley,PGE_bay,22,3978.2293977017034
286,PGE_valley,PGE_bay,23,3744.5321762075337
287,PGE_valley,PGE_bay,24,3410.595514578165
288,PGE_bay,SDGE,1,0.0
289,PGE_bay,SDGE,2,0.0
290,PGE_bay,SDGE,3,0.0
291,PGE_bay,SDGE,4,0.0
292,PGE_bay,SDGE,5,0.0
293,PGE_bay,SDGE,6,0.0
294,PGE_bay,SDGE,7,0.0
295,PGE_bay,SDGE,8,0.0
296,PGE_bay,SDGE,9,0.0
297,PGE_bay,SDGE,10,0.0
298,PGE_bay,SDGE,11,0.0
299,PGE_bay,SDGE,12,0.0
300,PGE_bay,SDGE,13,0.0
301,PGE_bay,SDGE,14,0.0
302,PGE_bay,SDGE,15,0.0
303,PGE_bay,SDGE,16,0.0
304,PGE_bay,SDGE,17,0.0
305,PGE_bay,SDGE,18,0.0
306,PGE_bay,SDGE,19,0.0
307,PGE_bay,SDGE,20,0.0
308,PGE_bay,SDGE,21,0.0
309,PGE_bay,SDGE,22,0.0
310,PGE_bay,SDGE,23,0.0
311,PGE_bay,SDGE,24,0.0
312,PGE_bay,SCE,1,0.0
313,PGE_bay,SCE,2,0.0
314,PGE_bay,SCE,3,0.0
315,PGE_bay,SCE,4,0.0
316,PGE_bay,SCE,5,0.0
317,PGE_bay,SCE,6,0.0
318,PGE_bay,SCE,7,0.0
319,PGE_bay,SCE,8,0.0
320,PGE_bay,SCE,9,0.0
321,PGE_bay,SCE,10,0.0
322,PGE_bay,SCE,11,0.0
323,PGE_bay,SCE,12,0.0
324,PGE_bay,SCE,13,0.0
325,PGE_bay,SCE,14,0.0
326,PGE_bay,SCE,15,0.0
327,PGE_bay,SCE,16,0.0
328,PGE_bay,SCE,17,0.0
329,PGE_bay,SCE,18,0.0
330,PGE_bay,SCE,19,0.0
331,PGE_bay,SCE,20,0.0
332,PGE_bay,SCE,21,0.0
333,PGE_bay,SCE,22,0.0
334,PGE_bay,SCE,23,0.0
335,PGE_bay,SCE,24,0.0
336,PGE_bay,PGE_valley,1,0.0
337,PGE_bay,PGE_valley,2,0.0
338,PGE_bay,PGE_valley,3,0.0
339,PGE_bay,PGE_valley,4,0.0
340,PGE_bay,PGE_valley,5,0.0
341,PGE_bay,PGE_valley,6,0.0
342,PGE_bay,PGE_valley,7,0.0
343,PGE_bay,PGE_valley,8,0.0
344,PGE_bay,PGE_valley,9,0.0
345,PGE_bay,PGE_valley,10,0.0
346,PGE_bay,PGE_valley,11,0.0
347,PGE_bay,PGE_valley,12,0.0
348,PGE_bay,PGE_valley,13,0.0
349,PGE_bay,PGE_valley,14,0.0
350,PGE_bay,PGE_valley,15,0.0
351,PGE_bay,PGE_valley,16,0.0
352,PGE_bay,PGE_valley,17,0.0
353,PGE_bay,PGE_valley,18,0.0
354,PGE_bay,PGE_valley,19,0.0
355,PGE_bay,PGE_valley,20,0.0
356,PGE_bay,PGE_valley,21,0.0
357,PGE_bay,PGE_valley,22,0.0
358,PGE_bay,PGE_valley,23,0.0
359,PGE_bay,PGE_valley,24,0.0
360,PGE_bay,PGE_bay,1,0.0
361,PGE_bay,PGE_bay,2,0.0
362,PGE_bay,PGE_bay,3,0.0
363,PGE_bay,PGE_bay,4,0.0
364,PGE_bay,PGE_bay,5,0.0
365,PGE_bay,PGE_bay,6,0.0
366,PGE_bay,PGE_bay,7,0.0
367,PGE_bay,PGE_bay,8,0.0
368,PGE_bay,PGE_bay,9,0.0
369,PGE_bay,PGE_bay,10,0.0
370,PGE_bay,PGE_bay,11,0.0
371,PGE_bay,PGE_bay,12,0.0
372,PGE_bay,PGE_bay,13,0.0
373,PGE_bay,PGE_bay,14,0.0
374,PGE_bay,PGE_bay,15,0.0
375,PGE_bay,PGE_bay,16,0.0
376,PGE_bay,PGE_bay,17,0.0
377,PGE_bay,PGE_bay,18,0.0
378,PGE_bay,PGE_bay,19,0.0
379,PGE_bay,PGE_bay,20,0.0
380,PGE_bay,PGE_bay,21,0.0
381,PGE_bay,PGE_bay,22,0.0
382,PGE_bay,PGE_bay,23,0.0
383,PGE_bay,PGE_bay,24,0.0
384,SDGE,SDGE,25,0.0
385,SDGE,SDGE,26,0.0
386,SDGE,SDGE,27,0.0
387,SDGE,SDGE,28,0.0
388,SDGE,SDGE,29,0.0
389,SDGE,SDGE,30,0.0
390,SDGE,SDGE,31,0.0
391,SDGE,SDGE,32,0.0
392,SDGE,SDGE,33,0.0
393,SDGE,SDGE,34,0.0
394,SDGE,SDGE,35,0.0
395,SDGE,SDGE,36,0.0
396,SDGE,SDGE,37,0.0
397,SDGE,SDGE,38,0.0
398,SDGE,SDGE,39,0.0
399,SDGE,SDGE,40,0.0
400,SDGE,SDGE,41,0.0
401,SDGE,SDGE,42,0.0
402,SDGE,SDGE,43,0.0
403,SDGE,SDGE,44,0.0
404,SDGE,SDGE,45,0.0
405,SDGE,SDGE,46,0.0
406,SDGE,SDGE,47,0.0
407,SDGE,SDGE,48,0.0
408,SDGE,SCE,25,0.0
409,SDGE,SCE,26,0.0
410,SDGE,SCE,27,0.0
411,SDGE,SCE,28,0.0
412,SDGE,SCE,29,0.0
413,SDGE,SCE,30,0.0
414,SDGE,SCE,31,0.0
415,SDGE,SCE,32,0.0
416,SDGE,SCE,33,0.0
417,SDGE,SCE,34,0.0
418,SDGE,SCE,35,0.0
419,SDGE,SCE,36,0.0
420,SDGE,SCE,37,0.0
421,SDGE,SCE,38,0.0
422,SDGE,SCE,39,0.0
423,SDGE,SCE,40,0.0
424,SDGE,SCE,41,0.0
425,SDGE,SCE,42,0.0
426,SDGE,SCE,43,0.0
427,SDGE,SCE,44,0.0
428,SDGE,SCE,45,0.0
429,SDGE,SCE,46,0.0
430,SDGE,SCE,47,0.0
431,SDGE,SCE,48,0.0
432,SDGE,PGE_valley,25,0.0
433,SDGE,PGE_valley,26,0.0
434,SDGE,PGE_valley,27,0.0
435,SDGE,PGE_valley,28,0.0
436,SDGE,PGE_valley,29,0.0
437,SDGE,PGE_valley,30,0.0
438,SDGE,PGE_valley,31,0.0
439,SDGE,PGE_valley,32,0.0
440,SDGE,PGE_valley,33,0.0
441,SDGE,PGE_valley,34,0.0
442,SDGE,PGE_valley,35,0.0
443,SDGE,PGE_valley,36,0.0
444,SDGE,PGE_valley,37,0.0
445,SDGE,PGE_valley,38,0.0
446,SDGE,PGE_valley,39,0.0
447,SDGE,PGE_valley,40,0.0
448,SDGE,PGE_valley,41,0.0
449,SDGE,PGE_valley,42,0.0
450,SDGE,PGE_valley,43,0.0
451,SDGE,PGE_valley,44,0.0
452,SDGE,PGE_valley,45,0.0
453,SDGE,PGE_valley,46,0.0
454,SDGE,PGE_valley,47,0.0
455,SDGE,PGE_valley,48,0.0
456,SDGE,PGE_bay,25,0.0
457,SDGE,PGE_bay,26,0.0
458,SDGE,PGE_bay,27,0.0
459,SDGE,PGE_bay,28,0.0
460,SDGE,PGE_bay,29,0.0
461,SDGE,PGE_bay,30,0.0
462,SDGE,PGE_bay,31,0.0
463,SDGE,PGE_bay,32,0.0
464,SDGE,PGE_bay,33,0.0
465,SDGE,PGE_bay,34,0.0
466,SDGE,PGE_bay,35,0.0
467,SDGE,PGE_bay,36,0.0
468,SDGE,PGE_bay,37,0.0
469,SDGE,PGE_bay,38,0.0
470,SDGE,PGE_bay,39,0.0
471,SDGE,PGE_bay,40,0.0
472,SDGE,PGE_bay,41,0.0
473,SDGE,PGE_bay,42,0.0
474,SDGE,PGE_bay,43,0.0
475,SDGE,PGE_bay,44,0.0
476,SDGE,PGE_bay,45,0.0
477,SDGE,PGE_bay,46,0.0
478,SDGE,PGE_bay,47,0.0
479,SDGE,PGE_bay,48,0.0
480,SCE,SDGE,25,0.0
481,SCE,SDGE,26,0.0
482,SCE,SDGE,27,0.0
483,SCE,SDGE,28,0.0
484,SCE,SDGE,29,0.0
485,SCE,SDGE,30,0.0
486,SCE,SDGE,31,0.0
487,SCE,SDGE,32,0.0
488,SCE,SDGE,33,12.735885577311592
489,SCE,SDGE,34,74.02950082395898
490,SCE,SDGE,35,39.61247580822317
491,SCE,SDGE,36,136.75931236130032
492,SCE,SDGE,37,219.36827264232284
493,SCE,SDGE,38,228.60263990958686
494,SCE,SDGE,39,101.90865985305777
495,SCE,SDGE,40,0.0
496,SCE,SDGE,41,2.288156791356137
497,SCE,SDGE,42,100.19909354204398
498,SCE,SDGE,43,304.41736473861545
499,SCE,SDGE,44,323.24996869602023
500,SCE,SDGE,45,169.82745298116288
501,SCE,SDGE,46,319.9632214194964
502,SCE,SDGE,47,84.01109260147702
503,SCE,SDGE,48,344.54290543293587
504,SCE,SCE,25,0.0
505,SCE,SCE,26,0.0
506,SCE,SCE,27,0.0
507,SCE,SCE,28,0.0
508,SCE,SCE,29,0.0
509,SCE,SCE,30,0.0
510,SCE,SCE,31,0.0
511,SCE,SCE,32,0.0
512,SCE,SCE,33,0.0
513,SCE,SCE,34,0.0
514,SCE,SCE,35,0.0
515,SCE,SCE,36,0.0
516,SCE,SCE,37,0.0
517,SCE,SCE,38,0.0
518,SCE,SCE,39,0.0
519,SCE,SCE,40,0.0
520,SCE,SCE,41,0.0
521,SCE,SCE,42,0.0
522,SCE,SCE,43,0.0
523,SCE,SCE,44,0.0
524,SCE,SCE,45,0.0
525,SCE,SCE,46,0.0
